
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
98536,6.318,1.118,15.554,-0.090,0.032,0.054,4.11,-22.06
98786,6.300,1.150,15.556,-0.070,0.076,0.044,4.23,-21.99
99037,6.306,1.098,15.568,-0.082,0.056,0.058,4.03,-22.00
99287,6.342,1.108,15.558,-0.098,0.002,0.062,4.07,-22.13
99537,6.324,1.096,15.596,-0.070,0.086,0.038,4.02,-22.02
99787,6.264,1.100,15.534,-0.086,0.004,0.054,4.05,-21.91
100037,6.330,1.114,15.570,-0.084,0.028,0.054,4.09,-22.07
100287,6.326,1.130,15.556,-0.052,0.114,0.036,4.15,-22.08
100537,6.314,1.050,15.614,-0.096,0.008,0.064,3.85,-21.97
100787,6.320,1.118,15.534,-0.086,0.036,0.046,4.12,-22.09
101038,6.244,1.100,15.566,-0.086,0.054,0.048,4.04,-21.81
101288,6.302,1.144,15.570,0.024,0.228,0.008,4.20,-21.98
101538,6.244,1.154,15.520,-0.080,0.058,0.038,4.25,-21.86
101788,6.308,1.138,15.496,-0.110,-0.002,0.054,4.20,-22.10
102038,6.260,1.082,15.566,-0.054,0.128,0.044,3.98,-21.86
102288,6.292,1.090,15.580,-0.092,0.052,0.046,4.00,-21.94
102538,6.266,1.116,15.544,-0.088,0.038,0.054,4.11,-21.90
102788,6.304,1.052,15.586,-0.084,0.062,0.052,3.86,-21.98
103039,6.266,1.108,15.590,-0.094,0.024,0.052,4.07,-21.85
103289,6.258,1.148,15.564,-0.084,0.042,0.050,4.22,-21.85
103539,6.288,1.116,15.560,-0.080,0.052,0.050,4.10,-21.95
103789,6.346,1.118,15.596,-0.090,0.030,0.054,4.10,-22.09
104039,6.282,1.156,15.612,-0.078,0.038,0.050,4.23,-21.86
104289,6.268,1.096,15.560,-0.120,-0.050,0.072,4.03,-21.89
104539,6.288,1.144,15.582,-0.066,0.090,0.044,4.20,-21.92
104789,6.296,1.084,15.576,-0.082,0.036,0.050,3.98,-21.96
105040,6.284,1.102,15.574,-0.098,0.016,0.056,4.05,-21.92
105290,6.278,1.102,15.586,-0.098,0.022,0.064,4.04,-21.89
105540,6.288,1.126,15.572,-0.086,0.028,0.060,4.14,-21.94
105790,6.258,1.118,15.580,-0.086,0.038,0.048,4.10,-21.83
106040,6.296,1.122,15.564,-0.096,0.008,0.058,4.12,-21.97
106290,6.300,1.130,15.546,-0.098,0.000,0.060,4.16,-22.01
106540,6.272,1.146,15.554,-0.084,0.040,0.054,4.21,-21.91
106790,6.268,1.136,15.566,-0.088,0.036,0.056,4.17,-21.88
107041,6.312,1.098,15.564,-0.102,0.012,0.052,4.04,-22.03
107291,6.290,1.110,15.570,-0.098,0.002,0.060,4.08,-21.95
107541,6.296,1.118,15.550,-0.084,0.062,0.054,4.11,-21.99
107791,6.292,1.114,15.552,-0.086,0.038,0.056,4.10,-21.98
108041,6.270,1.130,15.572,-0.096,0.028,0.056,4.15,-21.88
108291,6.290,1.132,15.560,-0.086,0.042,0.050,4.16,-21.96
108541,6.264,1.112,15.560,-0.072,0.056,0.048,4.09,-21.88
108791,6.290,1.090,15.568,-0.074,0.066,0.046,4.01,-21.95
109042,6.322,1.120,15.564,-0.102,0.012,0.054,4.12,-22.06
109292,6.290,1.134,15.566,-0.098,0.010,0.062,4.17,-21.95
109542,6.278,1.120,15.562,-0.082,0.044,0.050,4.12,-21.92
109792,6.292,1.104,15.564,-0.084,0.046,0.054,4.06,-21.96
110042,6.306,1.130,15.574,-0.088,0.018,0.062,4.15,-21.99
110292,6.260,1.134,15.558,-0.078,0.072,0.054,4.17,-21.87
110542,6.292,1.110,15.586,-0.096,0.038,0.054,4.07,-21.93
110792,6.286,1.160,15.560,-0.094,0.020,0.062,4.26,-21.94
111043,6.286,1.112,15.580,-0.086,0.040,0.052,4.08,-21.92
111293,6.286,1.132,15.550,-0.082,0.064,0.046,4.16,-21.96
111543,6.304,1.108,15.570,-0.092,0.006,0.056,4.07,-21.99
111793,6.360,1.110,15.540,-0.104,-0.006,0.056,4.09,-22.21
112043,6.294,1.130,15.566,-0.090,0.030,0.054,4.15,-21.96
112293,6.316,1.130,15.568,-0.090,0.024,0.054,4.15,-22.03
112543,6.292,1.112,15.570,-0.090,0.028,0.052,4.09,-21.95
112793,6.274,1.152,15.562,-0.080,0.062,0.050,4.23,-21.90
113044,6.298,1.132,15.562,-0.082,0.060,0.052,4.16,-21.98
113294,6.324,1.082,15.610,-0.118,-0.036,0.072,3.97,-22.01
113544,6.308,1.100,15.558,-0.096,0.014,0.068,4.04,-22.02
113794,6.262,1.134,15.578,-0.082,0.044,0.052,4.16,-21.85
114044,6.276,1.094,15.588,-0.082,0.034,0.056,4.01,-21.88
114294,6.286,1.128,15.564,-0.084,0.044,0.052,4.15,-21.94
114544,6.280,1.112,15.568,-0.086,0.034,0.050,4.09,-21.92
